id,locationId,RoadName,RoadNumber,RoadType
f1efbaf7-7410-5b1b-abdf-d78256fc9885,deb4bb75-b888-5d94-adac-346213d4fed1,Blairbeth Rd,,Other
ccce27dc-78c4-5311-904f-276e543534fd,deb4bb75-b888-5d94-adac-346213d4fed1,Buchanan Drive,,Other
7f8b0bd6-e77e-559c-afe2-866ebef0721b,deb4bb75-b888-5d94-adac-346213d4fed1,Stonelaw Rd,A749,A-Road
1647323e-3a42-5443-8d3b-c1cba4440235,deb4bb75-b888-5d94-adac-346213d4fed1,Richmond Drive,,Other
d970ac50-f7d5-5004-bd6d-3c2f27244cff,deb4bb75-b888-5d94-adac-346213d4fed1,Victoria St,,Other
8a9dd35f-b8e6-5e3c-8d65-d3a268907a62,deb4bb75-b888-5d94-adac-346213d4fed1,Bankhead Rd,,Minor
8165ced0-8f77-538f-92ad-5a49740a382d,e4682511-d986-5fe3-a4bc-83b2c7a7ce08,Stewartfield Way,A749,A-Road
a689e761-7667-5311-a1f9-c2f3019814ab,e4682511-d986-5fe3-a4bc-83b2c7a7ce08,Mossneuk Rd,,Minor
38d52b77-7a13-504c-9d23-02071198b842,e4682511-d986-5fe3-a4bc-83b2c7a7ce08,West Mains Rd,B761,B-Road
6a2aae76-d59a-5929-b6e7-f3d3fbbcf70e,e4682511-d986-5fe3-a4bc-83b2c7a7ce08,The Murray Rd,,Minor
1e974791-973a-5959-9475-2b15675f1195,422a0875-634a-588a-99cd-9e98d6e028e5,Kilbowie Rd,A1814,A-Road
5f793029-68d4-580a-957e-186a0e2e4182,072938c5-b642-57f7-8efb-bec4d3d664e9,Bridge St,,Minor
1b1292c0-a1ea-5560-b92e-f4f85745cfdf,40fe74bb-4074-52a1-a237-424be5970524,Cromwell St,A907,A-Road
4cf10ec2-48b7-5a41-ae02-8752079e6216,40fe74bb-4074-52a1-a237-424be5970524,Matheson Rd,A857,A-Road
48583706-2714-5150-9228-f0389f5f7a4e,40fe74bb-4074-52a1-a237-424be5970524,Macaulay Rd,A857,A-Road
eed643f7-29e4-5c8e-a339-3a26c64eec07,5ebfef8f-ce4d-57d9-bc90-ad0f98c9c9d6,Leyland Rd,,Minor
0c1cb852-595c-5f17-9592-97b5c9e77ce5,4a95294e-04ff-564f-9a79-57c8dab77f39,A89,A89,A-Road
5cc47b82-36bd-5e8b-baeb-5124cbd32799,5ebfef8f-ce4d-57d9-bc90-ad0f98c9c9d6,Edinburgh Rd,A89,A-Road
e2c94ac7-22ae-5179-be35-3278693e5e30,4a95294e-04ff-564f-9a79-57c8dab77f39,West Main St,A899,A-Road
dcd21486-c269-5262-ab98-0b93f2455530,608ca9a1-ef3d-5de9-8055-692436614135,Sound Brae,A79,A-Road
